Group,Genus,Species,Tandem,Parthenogenesis,Incipient,Mature,Source,Ref,Note1,Note2
Neo,Nasutitermes,nigriceps,1,NA,monogamous,monogamous,field/genetics,"Clarke PA, Garraway E. Development of nests and composition of colonies of Nasutitermes nigriceps (Isoptera: Termitidae) in the Mangroves of Jamaica. Florida Entomologist. 1994 Jun 1;272–272. ; Thompson GJ, Hebert PDN. Probing termite social systems through allozyme and mtDNA analysis: a case study of Nasutitermes nigriceps and Nasutitermes costalis (Isoptera, Termitidae). Insectes soc. 1998 Aug 1;45(3):289–99. ",,
Neo,Nasutitermes,ephratae,1,NA,NA,monogamous,field,Thorne BL. Numerical and biomass caste proportions in colonies of the termites Nasutitermes corniger and N. ephratae (Isoptera; Termitidae). Ins Soc. 1985 Dec;32(4):411–26. ,,
Neo,Nasutitermes,costalis,1,NA,NA,monogamous/multiple,field,"Clarke P. Biology of Nasutitermes nigriceps (Haldeman) and Nasutitermes costalis (Helmgren) (Isoptera: Termitidae). The University of the West Indies; 1991.; Roisin Y, Pasteels JM. Reproductive mechanisms in termites: Polycalism and polygyny in Nasutitermes polygynus and N. costalis. Insectes Sociaux. 1986;33(2):149–67. ",,
Neo,Nasutitermes,exitiosus,1,NA,NA,monogamous/multiple,genetics,"Gay FJ, Calaby JH. Termites of the Australian region. Biology of termites II. 1970;2:393–448. ",Montagu et al 2020,"estimate from genetics, 80% monogamous"
Neo,Trinervitermes,suspensus,1,NA,NA,NA,NA,NA,,
Neo,Trinervitermes,bettonianus,1,NA,NA,NA,NA,NA,,
Neo,Amitermes,floridensis,1,NA,NA,NA,NA,NA,,
Neo,Amitermes,atlanticus,1,NA,monogamous,monogamous,field,"Skaife SH. The black-mound termite of the cape, Amitermes atlanticus Fuller. Transactions of the royal society of South Africa. 1954;34(1):251–81. ",,
Neo,Amitermes,wheeleri,1,NA,NA,NA,NA,NA,,
Neo,Inquilinitermes,microcerus,1,NA,NA,NA,NA,NA,,
Neo,Microcerotermes,biroi,1,NA,NA,monogamous,field,"Leponce M, Roisin Y, Pasteels JM. Reproductive mechanisms and dynamics of habitat colonization in Microcerotermes biroi (Isoptera: Termitidae). Ecological Entomology. 1996;21(2):178–84. ",,
Neo,Microcerotermes,edentatus,1,NA,NA,NA,NA,NA,,
Neo,Pericapritermes,sp,1,NA,NA,monogamous,field,"Chiu CI, Yang MM, Li HF. Structure and function of subterranean gallery systems of soil-feeding termites Pericapritermes nitobei and Sinocapritermes mushae. Insectes Sociaux. 2015;62(4):393–400. ","nitobei, small sampel size",
